DBN,School Name,Number of Test Takers,Critical Reading Mean,Mathematics Mean,Writing Mean
01M292,Henry Street School for International Studies ,31.0,-0.23349031629881253,425.0,0
01M448,University Neighborhood High School ,60.0,-0.18061941558038763,419.0,0
01M450,East Side Community High School ,69.0,0.2423477901670115,431.0,1
01M458,SATELLITE ACADEMY FORSYTH ST ,26.0,-0.3392321177356623,370.0,0
01M509,CMSP HIGH SCHOOL ,54.0,,,0
01M515,Lower East Side Preparatory High School ,154.0,-1.5905101014050513,532.0,0
01M539,"New Explorations into Sci, Tech and Math HS ",47.0,2.885892826088256,583.0,1
01M650,CASCADES HIGH SCHOOL ,35.0,0.1189823551573534,401.0,1
01M696,BARD HIGH SCHOOL EARLY COLLEGE ,138.0,3.9785581076023706,608.0,1
02M047,AMERICAN SIGN LANG ENG DUAL ,11.0,0.013240553720503628,415.0,0
02M288,FOOD AND FNANCE HIGH SCHOOL ,50.0,0.31284232445824467,412.0,1
02M294,HIGH SCHOOL FOR HIST AND COMM ,51.0,-0.39210301845408724,364.0,0
02M296,High School of Hospitality Management ,43.0,-0.12774851486196276,415.0,0
02M298,PACE HIGH SCHOOL ,71.0,0.34808959160386127,448.0,1
02M300,Urban Assembly School of Design and Construction ,49.0,0.013240553720503628,446.0,1
02M303,The Facing History School ,59.0,-0.4097266520268955,373.0,0
02M305,Urban Assembly Academy of Government and Law ,48.0,0.1189823551573534,406.0,1
02M308,LOWER MANHATTAN ARTS ACADEMY ,35.0,0.08373508801173682,381.0,1
02M313,The James Baldwin School ,45.0,0.2952186908854364,419.0,0
02M316,Urban Assembly School of Business for Young Women ,52.0,-0.057253980570729564,409.0,0
02M374,GRAMERCY ARTS HIGH SCHOOL ,49.0,-0.16299578200757936,376.0,0
02M376,NYC iSchool ,54.0,,,0
02M400,HIGH SCHOOL ENVRNMNTL STUDIES ,216.0,1.0706585680890015,480.0,1
02M407,Institute for Collaborative Education ,42.0,1.405507605972359,478.0,1
02M408,Professional Performng Arts School ,69.0,1.5993675752732504,465.0,1
02M411,Baruch College Campus High School ,96.0,2.092829315311883,583.0,1
02M412,New York City Laboratory School Collab Studies ,108.0,2.762527391078598,597.0,1
02M413,SCHOOL OF THE FUTURE ,79.0,1.2468949038170845,488.0,1
02M414,NEW YORK CITY MUSEUM SCHOOL ,90.0,0.8767985987881102,448.0,1
02M416,ELEANOR ROOSEVELT HIGH SCHOOL ,122.0,2.656785589641748,596.0,1
02M418,Millennium High School ,140.0,1.8989693460109915,554.0,1
02M419,LANDMARK SCHOOL ,47.0,-0.6212102549005951,370.0,0
02M420,HIGH SCHOOL HLTH PROF HUMAN ,250.0,0.7358095302056438,458.0,1
02M425,HIGH SCHOOL LEADERSHIP PUB SVC ,74.0,0.2599714237398198,429.0,1
02M429,LEGACY SCH INTEGRATED STUDIES ,31.0,-0.4449739191725121,356.0,0
